"A","A"
"by","by"
"Q","Q"
"Helpful","Helpful"
"Not Helpful","Not Helpful"
"Report as Inappropriate","Report as Inappropriate"
"Please, enter the text shown in the image into the field below","Please, enter the text shown in the image into the field below"
"Reload the Image","Reload the Image"
"My Questions/Answers","My Questions/Answers"
"Pending","Pending"
"Approved","Approved"
"Not Approved","Not Approved"
"View Details","View Details"
"Your question has been added","Your question has been added"
"Your question has been sent for moderation","Your question has been sent for moderation"
"Your answer has been added","Your answer has been added"
"Your answer has been sent for moderation","Your answer has been sent for moderation"
"Maximum question length is ","Maximum question length is "
"Maximum answer length is ","Maximum answer length is "
"Outdoor Answers","Outdoor Answers"
"Expand all","Expand all"
"Collapse all","Collapse all"
"Sort by","Sort by"
"Most Recent Questions","Most Recent Questions"
"Oldest Questions","Oldest Questions"
"Questions With The Most Helpful Answers","Questions With The Most Helpful Answers"
"Questions With Most Recent Answers","Questions With Most Recent Answers"
"Questions With Most Oldest Answers","Questions With Most Oldest Answers"
"Questions With Most Answers","Questions With Most Answers"
"Nickname","Nickname"
"Your Question","Your Question"
"Your Answer","Your Answer"
"Notify me by email when answer received","Notify me by email when answer received"
"Loading","Loading"
"My Questions","My Questions"
"Posted On","Posted On"
"Product Name","Product Name"
"Question","Question"
"Status","Status"
"You have placed no questions.","You have placed no questions."
"My Answers","My Answers"
"Answer","Answer"
"You have placed no answers.","You have placed no answers."
"Pending Questions","Pending Questions"
"Inappropriate Questions","Inappropriate Questions"
"Not Answered Questions","Not Answered Questions"
"All Questions","All Questions"
"Add New Question","Add New Question"
"Edit Question","Edit Question"
"Save Question","Save Question"
"Delete Question","Delete Question"
"Do you really want to remove the question? All answers will be removed as well","Do you really want to remove the question? All answers will be removed as well"
"Pending Answers","Pending Answers"
"Inappropriate Answers","Inappropriate Answers"
"All Answers","All Answers"
"All Store Views","All Store Views"
"Administrator","Administrator"
"Customer","Customer"
"Guest","Guest"
"Inappropriate","Inappropriate"
"unmark","unmark"
"ID","ID"
"Inappr","Inappr"
"Any","Any"
"Yes","Yes"
"No","No"
"Created On","Created On"
"Visible In","Visible In"
"Type","Type"
"Product SKU","Product SKU"
"Action","Action"
"Edit","Edit"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Product","Product"
"Question is visible in","Question is visible in"
"No records found.","No records found."
"Del","Del"
"Posted By","Posted By"
"Question Details","Question Details"
"Rating","Rating"
"helpful","helpful"
"not helpful","not helpful"
"Rated as Inappropriate!","Rated as Inappropriate!"
"remove flag","remove flag"
"Answers","Answers"
"Save Settings","Save Settings"
"Product Questions/Answers Settings","Product Questions/Answers Settings"
"General Settings","General Settings"
"Extension Enabled","Extension Enabled"
"Module is visible for","Module is visible for"
"Visitors & Customers","Visitors & Customers"
"Customers only","Customers only"
"Visitors can post","Visitors can post"
"Questions & Answers","Questions & Answers"
"Questions only","Questions only"
"Answers only","Answers only"
"Color scheme","Color scheme"
"Sharp - Magento","Sharp - Magento"
"Sharp - Blue","Sharp - Blue"
"Sharp - White","Sharp - White"
"Sharp - Gray","Sharp - Gray"
"Sharp - Black","Sharp - Black"
"Smooth - Magento","Smooth - Magento"
"Smooth - Blue","Smooth - Blue"
"Smooth - White","Smooth - White"
"Smooth - Gray","Smooth - Gray"
"Smooth - Black","Smooth - Black"
"Show Captcha image for visitors","Show Captcha image for visitors"
"Alikon mod","Alikon mod"
"Captcha form","Captcha form"
"SecurImage","SecurImage"
"No Captcha","No Captcha"
"Questions approval","Questions approval"
"Manual approval","Manual approval"
"Auto approval for Customers","Auto approval for Customers"
"Auto approval for Customers & Visitors","Auto approval for Customers & Visitors"
"Answers approval","Answers approval"
"Maximum question length","Maximum question length"
"Maximum answer length","Maximum answer length"
"Questions per page","Questions per page"
"Notify administrator when new question/answer received","Notify administrator when new question/answer received"
"Administrator Email","Administrator Email"
"Email Settings","Email Settings"
"Admin email from name","Admin email from name"
"Admin from email","Admin from email"
"Admin email subject","Admin email subject"
"Admin Email Notification Template","Admin Email Notification Template"
"Customer email from name","Customer email from name"
"Customer from email","Customer from email"
"Customer email subject","Customer email subject"
"Customer Email Notification Template","Customer Email Notification Template"
"Add New Answer","Add New Answer"
"Current Configuration Scope:","Current Configuration Scope:"
"Manage Stores","Manage Stores"
"Use Website","Use Website"
"Use Default","Use Default"
"Maximum question length should be number zero or greater than 0!","Maximum question length should be number zero or greater than 0!"
"Maximum answer length should be number zero or greater than 0!","Maximum answer length should be number zero or greater than 0!"
"Questions per page should be number zero or greater than 0!","Questions per page should be number zero or greater than 0!"
"Please enter a valid email!","Please enter a valid email!"
"My Questions/Answers", "My Questions/Answers"
"The extension has been registered", "The extension has been registered"
"Wrong s/n!", "Wrong s/n!"
"The extension is not registered for the website selected. Please register it with an additional S/N.","The extension is not registered for the website selected. Please register it with an additional S/N."
"Product Questions/Answers is not allowed on this page!","Product Questions/Answers is not allowed on this page!"
"Guest email from name","Guest email from name"
"Guest from email","Guest from email"
"Guest email subject","Guest email subject"
"Guest Email Notification Template","Guest Email Notification Template"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Please, enter email...","Please, enter email..."
"Sorry, but administrator denied subscription for guests","Sorry, but administrator denied subscription for guests"
"There was a problem with the subscription.","There was a problem with the subscription."
"There was a problem with the subscription: This email address is already assigned to another user.","There was a problem with the subscription: This email address is already assigned to another user."
"Simple","Simple"
"CAPTCHA Image","CAPTCHA Image"
"Hide the Form","Hide the Form"
"Ok","Ok"
"Add Question","Add Question"
"Answer this Question","Answer this Question"
"answers","answers"
"Ask a New Question","Ask a New Question"
"Be the first to ask a question about this product","Be the first to ask a question about this product"
"Allow subscribing to questions","Allow subscribing to questions"
"Visitors can rate","Visitors can rate"
"Thank you for your report! Our moderator will review it shortly.","Thank you for your report! Our moderator will review it shortly."
"Search Q/A","Search Q/A"
"Search phrase","Search phrase"
"Sorry, nothing found for %s","Sorry, nothing found for %s"
